,date,time,latitude,longitude,depth,magnitude,magnitude_type
187,2017-08-01,09:10:10.089463,36.94885254,27.42736816,19741.7806,3.059499351,MLh
188,2017-07-26,09:11:40.280000,36.9455,27.4087,11400.0,3.1,MLh
189,2017-07-22,09:15:33.160000,36.9297,27.4093,9700.0,3.4,MLh
190,2018-02-04,09:17:47.170000,36.9222,27.5978,15200.0,2.9,MLh
191,2017-08-23,09:22:33.133681,36.98730469,27.43652344,19995.44271,3.056684005,MLh
192,2017-09-18,09:23:31.530000,36.9547,27.549,15400.0,2.7,MLh
193,2012-06-03,09:25:21.020000,36.9783,27.5847,29000.0,3.1,MLh
194,2016-11-11,09:29:40.770000,36.9895,27.3662,15000.0,2.6,MLh
195,2018-01-05,09:34:52.550000,36.9058,27.2128,12900.0,2.9,MLh
196,2017-10-24,09:36:24.790000,36.9505,27.4208,10700.0,4.5,MLh
197,2012-06-16,09:37:48.120000,36.9778,27.5503,28300.0,3.2,MLh
198,2017-07-25,09:39:05.330000,36.9592,27.314,19900.0,2.7,MLh
199,2017-07-29,09:42:59.070000,36.946,27.4035,9000.0,3.2,MLh
200,2013-10-24,09:44:15.190000,36.8183,27.4563,27500.0,2.6,MLh
201,2017-07-27,09:47:17.330000,36.9013,27.4577,11600.0,3.1,MLh
202,2014-08-13,09:48:04.130000,36.9835,27.353,28700.0,2.9,MLh
203,2011-06-25,09:54:31.040000,36.9603,27.3878,26900.0,2.7,MLh
204,2017-08-10,09:56:11.537771,36.89941406,27.31933594,20910.80729,2.931997393,MLh
205,2017-07-29,09:57:04.550000,36.95,27.5385,9200.0,2.9,MLh
206,2017-12-15,10:11:27.680000,36.9355,27.2217,13000.0,2.7,MLh
207,2012-04-19,10:13:13.670000,36.8097,27.4533,23900.0,3.0,MLh
208,2017-07-26,10:18:25.555892,36.93969727,27.38891602,9416.178385,2.387117229,MLh
209,2017-07-21,10:20:42.660000,36.909,27.5992,13000.0,3.5,MLh
210,2017-07-24,10:28:08.450000,36.9633,27.558,13000.0,3.3,MLh
211,2016-10-10,10:29:21.860000,36.816,27.4603,14200.0,2.5,MLh
212,2014-05-19,10:29:51.480000,36.9887,27.422,39100.0,2.3,MLh
213,2016-09-09,10:45:09.910000,36.8768,27.4822,52000.0,3.0,MLh
214,2017-07-21,10:45:17.760879,36.89941406,27.52441406,17600.91146,3.412850651,MLh
215,2018-04-24,10:53:50.980000,36.961,27.538,19300.0,2.2,MLh
216,2017-07-23,10:55:34.920000,36.9465,27.5945,11900.0,3.1,MLh
217,2017-09-26,10:58:15.007494,36.94335938,27.39257812,18186.19792,2.897146522,MLh
218,2017-10-24,11:00:01.030000,36.9702,27.4158,11000.0,3.3,MLh
219,2017-08-09,11:00:58.784836,36.98730469,27.55371094,29992.83854,2.762381068,MLh
220,2017-07-22,11:01:48.810000,36.9045,27.5937,10300.0,3.3,MLh
221,2017-07-30,11:02:22.190000,36.9807,27.5708,10000.0,2.8,MLh
222,2017-07-21,11:06:40.509349,36.95800781,27.52441406,14977.21354,3.278222727,MLh
223,2017-07-28,11:22:05.368058,36.89941406,27.40722656,15572.26562,2.735878703,MLh
224,2017-07-22,11:22:23.720000,36.9763,27.3752,14600.0,3.0,MLh
225,2018-04-14,11:24:11.190000,36.9547,27.5763,13600.0,2.7,MLh
226,2012-03-31,11:24:52.860000,36.877,27.3328,31900.0,2.2,MLh
227,2012-08-11,11:26:00.510000,36.85,27.5422,28900.0,2.8,MLh
228,2012-03-22,11:28:53.580000,36.9027,27.3762,26800.0,2.9,MLh
229,2017-07-23,11:38:16.950000,36.9307,27.5455,9900.0,3.3,MLh
230,2015-05-29,11:43:39.840000,36.8737,27.556,42400.0,3.3,MLh
231,2012-05-16,11:44:23.420000,36.8472,27.4953,29800.0,3.5,MLh
232,2012-05-16,11:49:12.110000,36.8488,27.5658,27700.0,2.6,MLh
233,2012-05-16,11:56:00.680000,36.8102,27.5475,35200.0,2.9,MLh
234,2017-07-25,11:58:03.600000,36.9278,27.5442,11200.0,3.0,MLh
235,2012-06-16,12:00:58.150000,36.9847,27.599,28500.0,3.3,MLh
236,2017-07-21,12:01:45.466902,36.98730469,27.43652344,17520.18229,3.486670937,MLh
237,2017-07-21,12:05:25.680000,36.9208,27.5723,13200.0,3.5,MLh
238,2017-07-23,12:07:37.470000,36.971,27.3827,11500.0,2.8,MLh
239,2012-01-04,12:09:34.020000,36.9095,27.5005,30200.0,2.8,MLh
240,2012-05-16,12:11:25.410000,36.8503,27.5573,30200.0,2.6,MLh
241,2017-07-22,12:13:48.270000,36.9637,27.4203,12200.0,3.0,MLh
242,2018-04-20,12:14:22.360000,36.9642,27.38,11300.0,3.1,MLh
243,2017-07-29,12:15:47.140000,36.9372,27.5687,13500.0,2.7,MLh
244,2014-05-19,12:16:32.190000,36.9665,27.3445,25700.0,2.1,MLh
245,2018-04-20,12:20:11.070000,36.9463,27.3743,7100.0,3.6,MLh
246,2012-10-01,12:22:16.210000,36.8248,27.4415,31200.0,2.6,MLh
247,2017-08-10,12:24:28.730000,36.9978,27.5872,7200.0,3.3,MLh
